province_name,year,month,date,rainfall_mm,monthly_mean,rainfall_anomaly,rainfall_zscore,year_month,quarter,month_name,season,z_extreme_1_5,z_extreme_2_0,rainfall_iqr_outlier
Vinh Long,2024,2,2024-02-01,0.0,4.195738415120273,-4.195738415120273,-1.0443968064869351,2024-02,1,February,Dry season,False,False,False
Can Tho city,2024,2,2024-02-01,0.0,5.587269902071623,-5.587269902071623,-1.0987778313032368,2024-02,1,February,Dry season,False,False,False
Vinh Long,2022,1,2022-01-01,0.002687726995093,6.580184768412957,-6.577497041417864,-0.8304686413004835,2022-01,1,January,Dry season,False,False,False
Ca Mau,2024,2,2024-02-01,0.0241772277872605,6.862763033455981,-6.838585805668721,-0.9982677673243028,2024-02,1,February,Dry season,False,False,False
Bac Lieu,2024,2,2024-02-01,0.0247928181947095,5.961832429383697,-5.937039611188987,-1.0826335938749123,2024-02,1,February,Dry season,False,False,False
Hau Giang,2024,2,2024-02-01,0.0583989682658549,6.152568279818326,-6.094169311552472,-1.1462135780928937,2024-02,1,February,Dry season,False,False,False
Tra Vinh,2024,2,2024-02-01,0.0817869941962999,2.5931895193082424,-2.5114025251119423,-0.8838665424602814,2024-02,1,February,Dry season,False,False,False
Vinh Long,2020,2,2020-02-01,0.153938468216457,4.195738415120273,-4.041799946903816,-1.0060786777824915,2020-02,1,February,Dry season,False,False,False
Tien Giang,2022,1,2022-01-01,0.1655609334037724,6.410953079547847,-6.2453921461440745,-0.8943741464948138,2022-01,1,January,Dry season,False,False,False
Dong Thap,2024,2,2024-02-01,0.17423013133861,6.367224494993593,-6.192994363654983,-1.0486743831014629,2024-02,1,February,Dry season,False,False,False
Dong Thap,2020,2,2020-02-01,0.2155215475065255,6.367224494993593,-6.151702947487068,-1.041682409940402,2020-02,1,February,Dry season,False,False,False
Ben Tre,2020,1,2020-01-01,0.2645710582840612,5.404344217723889,-5.139773159439828,-0.7420628657645186,2020-01,1,January,Dry season,False,False,False
Kien Giang,2024,2,2024-02-01,0.2738279455899822,10.84326657686892,-10.569438631278938,-1.0927925611771985,2024-02,1,February,Dry season,False,False,False
Can Tho city,2022,1,2022-01-01,0.3116162347251532,11.194913780077384,-10.88329754535223,-1.0647179012175985,2022-01,1,January,Dry season,False,False,False
Tra Vinh,2020,2,2020-02-01,0.3696481735626741,2.5931895193082424,-2.223541345745568,-0.7825562734886615,2020-02,1,February,Dry season,False,False,False
Ben Tre,2022,1,2022-01-01,0.3753849571146181,5.404344217723889,-5.028959260609271,-0.7260639341420763,2022-01,1,January,Dry season,False,False,False
Long An,2020,2,2020-02-01,0.3793498289011621,5.883360655482852,-5.504010826581689,-1.0336687163720657,2020-02,1,February,Dry season,False,False,False
Soc Trang,2024,2,2024-02-01,0.4059506655532796,5.972682936447796,-5.566732270894516,-1.216946633654148,2024-02,1,February,Dry season,False,False,False
An Giang,2024,2,2024-02-01,0.4835459016973641,9.530363498112967,-9.046817596415606,-1.0666161242887164,2024-02,1,February,Dry season,False,False,False
Bac Lieu,2020,2,2020-02-01,0.6213219773520525,5.961832429383697,-5.340510452031644,-0.973855052762845,2020-02,1,February,Dry season,False,False,False
