month,count,mean,median,std,min,max
1,65,10.30689122186208,7.149523101057318,9.65459688831745,0.002687726995093,42.59831843187317
2,65,6.073208184242111,6.127485318399017,5.56355434948459,0.0,20.460613300647463
3,65,20.723459603948072,9.999135047491423,27.4553199955083,0.7905848216552196,121.8625483833769
4,65,80.5026903667646,66.43205516605266,65.35474069261133,2.2841007146050347,240.1868852894819
5,65,179.631206466934,190.18984496735348,54.244453521029456,70.30687859582304,278.32226905417406
6,65,208.0709275265139,196.17219914566715,57.893970746513325,122.08555426636852,361.0386736377871
7,65,301.95331244723275,282.09431771913404,100.49064699384834,147.6104804940892,498.34430442502327
8,65,214.81316377246037,209.2040636891944,46.118949344949584,129.87700951343618,337.02866285823364
9,65,295.4165512408973,277.4735256873269,80.67045859859364,187.2833295513792,559.4639768198103
10,65,324.8735638128772,311.3523859156409,73.23216929807708,230.0461752741574,552.1392952205687
11,65,171.94972524020068,162.1129245752472,55.28752169368685,81.69964191697345,300.6522227481697
12,65,51.421660001844224,54.20011128429098,24.558905907083762,16.236586234892314,101.17872085748137
