province_name,wettest_month,wettest_month_avg_rainfall,driest_month,driest_month_avg_rainfall,wet_dry_gap
Ca Mau,9,433.79291387474905,2,6.862763033455981,426.9301508412931
Bac Lieu,9,397.92563999468774,2,5.961832429383697,391.963807565304
Kien Giang,7,402.4883981245007,2,10.84326657686892,391.64513154763176
Hau Giang,7,379.313535545294,2,6.152568279818326,373.1609672654756
Soc Trang,7,358.00975132525224,2,5.972682936447796,352.03706838880447
Ben Tre,10,341.69776364545856,2,3.882770202044445,337.8149934434141
Tra Vinh,10,339.1136252157864,2,2.5931895193082424,336.52043569647816
Tien Giang,10,338.230066800051,2,5.118676452038725,333.1113903480123
Long An,10,333.06629494409026,2,5.883360655482852,327.1829342886074
Vinh Long,10,314.31024509936026,2,4.195738415120273,310.11450668424
Can Tho city,10,301.4348332222371,2,5.587269902071623,295.8475633201655
Dong Thap,10,288.8273549742914,2,6.367224494993593,282.4601304792978
An Giang,10,290.7636411498616,2,9.530363498112969,281.2332776517486
