province_name,n_records,avg_rainfall,median_rainfall,std_rainfall,min_rainfall,max_rainfall,total_rainfall,avg_anomaly,avg_zscore
Ca Mau,60,196.4432426740979,199.0006090881832,159.41131249032202,0.0241772277872605,559.4639768198103,11786.594560445874,-2.842170943040401e-15,-1.1102230246251565e-16
Kien Giang,60,184.56677022215905,187.80707691296112,144.50775689299414,0.2738279455899822,498.34430442502327,11074.006213329543,2.6053233644537005e-15,5.181040781584064e-17
Bac Lieu,60,184.40171996560477,191.32457012774262,150.34910296032712,0.0247928181947095,498.9840487820997,11064.103197936287,1.7763568394002505e-15,-1.4802973661668754e-17
Hau Giang,60,171.12602523643395,185.41153906107814,137.07599784141425,0.0583989682658549,497.3243696572786,10267.561514186036,-1.4210854715202005e-15,-6.661338147750939e-17
Soc Trang,60,167.60610364757557,168.26909709467623,140.75706873231988,0.4059506655532796,475.92900620832313,10056.366218854533,2.6053233644537005e-15,6.29126380620922e-17
Long An,60,148.89208356160486,160.58179700150328,113.36051524837521,0.3793498289011621,354.1208546303278,8933.525013696291,2.960594732333751e-15,2.960594732333751e-17
Can Tho city,60,145.73644874006897,167.41498248134857,112.99367130596461,0.0,394.52099479257424,8744.186924404137,-2.1316282072803005e-15,-7.771561172376095e-17
Tra Vinh,60,145.13929846739163,142.6759341445204,125.37236311503915,0.0817869941962999,435.9316272084818,8708.357908043497,-1.8947806286936005e-15,-7.771561172376095e-17
Vinh Long,60,145.06669112831972,155.4450132897411,118.05805076818572,0.0,423.6338845629704,8704.001467699183,7.105427357601002e-16,1.258252761241844e-16
Tien Giang,60,137.61318450218783,148.20521685354026,112.34294934588435,0.1655609334037724,406.2701250434722,8256.79107013127,-1.4210854715202005e-15,-5.921189464667501e-17
Ben Tre,60,134.43557213370386,136.5071270681247,114.28908655272649,0.2645710582840612,411.03343528207415,8066.134328022231,-7.105427357601002e-16,6.661338147750939e-17
An Giang,60,132.88831336892207,140.78190059896724,97.91813144448419,0.4835459016973641,372.0848974900658,7973.298802135324,-4.500103993147301e-15,-8.141635513917814e-17
Dong Thap,60,127.29893622818875,140.36467317524045,93.94582032663804,0.17423013133861,340.31227974041053,7637.936173691325,1.7763568394002505e-15,4.070817756958907e-17
