province_name,avg_rainfall,std_rainfall,min_rainfall,max_rainfall,range_rainfall,cv_rainfall
Tra Vinh,145.13929846739163,125.37236311503915,0.0817869941962999,435.9316272084818,435.8498402142855,0.8638071455416777
Ben Tre,134.43557213370386,114.28908655272649,0.2645710582840612,411.03343528207415,410.7688642237901,0.8501402176431359
Soc Trang,167.60610364757557,140.75706873231988,0.4059506655532796,475.92900620832313,475.52305554276984,0.8398087281373058
Tien Giang,137.61318450218783,112.34294934588435,0.1655609334037724,406.2701250434722,406.10456411006845,0.8163676304147898
Bac Lieu,184.40171996560477,150.34910296032712,0.0247928181947095,498.9840487820997,498.959255963905,0.8153346020219916
Vinh Long,145.06669112831972,118.05805076818572,0.0,423.6338845629704,423.6338845629704,0.8138191465589898
Ca Mau,196.4432426740979,159.41131249032202,0.0241772277872605,559.4639768198103,559.4397995920231,0.8114878899387119
Hau Giang,171.12602523643395,137.07599784141425,0.0583989682658549,497.3243696572786,497.26597068901276,0.8010236762761541
Kien Giang,184.56677022215905,144.50775689299414,0.2738279455899822,498.34430442502327,498.0704764794333,0.7829565241839214
Can Tho city,145.73644874006897,112.99367130596461,0.0,394.52099479257424,394.52099479257424,0.7753288369712963
Long An,148.89208356160486,113.36051524837521,0.3793498289011621,354.1208546303278,353.74150480142663,0.7613602586296787
Dong Thap,127.29893622818875,93.94582032663804,0.17423013133861,340.31227974041053,340.1380496090719,0.7379937579229741
An Giang,132.88831336892207,97.91813144448419,0.4835459016973641,372.0848974900658,371.60135158836846,0.7368453174106115
