province_name,year,month,date,rainfall_mm,monthly_mean,rainfall_anomaly,rainfall_zscore,year_month,quarter,month_name,season,z_extreme_1_5,z_extreme_2_0,rainfall_iqr_outlier
Ca Mau,2024,9,2024-09-01,559.4639768198103,433.79291387474905,125.6710629450613,1.2262373209506767,2024-09,3,September,Rainy season,False,False,False
Ca Mau,2020,10,2020-10-01,552.1392952205687,355.65986661280465,196.479428607764,1.6218073830638506,2020-10,4,October,Rainy season,True,False,False
Ca Mau,2020,9,2020-09-01,530.0708290994568,433.79291387474905,96.27791522470773,0.9394332320040392,2020-09,3,September,Rainy season,False,False,False
Bac Lieu,2020,9,2020-09-01,498.9840487820997,397.9256399946877,101.05840878741196,1.2103931599539623,2020-09,3,September,Rainy season,False,False,False
Kien Giang,2023,7,2023-07-01,498.34430442502327,402.4883981245007,95.85590630052258,1.0443389667314888,2023-07,3,July,Rainy season,False,False,False
Hau Giang,2023,7,2023-07-01,497.3243696572786,379.313535545294,118.01083411198464,1.2081270439243057,2023-07,3,July,Rainy season,False,False,False
Bac Lieu,2020,10,2020-10-01,497.0482362161376,337.60909156325994,159.43914465287764,1.4759139039908218,2020-10,4,October,Rainy season,False,False,False
Bac Lieu,2024,9,2024-09-01,478.0915747452718,397.9256399946877,80.16593475058409,0.960160567019626,2024-09,3,September,Rainy season,False,False,False
Soc Trang,2023,7,2023-07-01,475.92900620832313,358.00975132525224,117.91925488307088,0.9638988816933116,2023-07,3,July,Rainy season,False,False,False
Ca Mau,2024,7,2024-07-01,474.850586537168,381.5162130509005,93.33437348626752,0.8010778354165704,2024-07,3,July,Rainy season,False,False,False
Kien Giang,2020,10,2020-10-01,474.0798539529466,333.29098202756506,140.78887192538156,1.5112514419763945,2020-10,4,October,Rainy season,True,False,False
Ca Mau,2023,7,2023-07-01,472.18625596424033,381.5162130509005,90.67004291333984,0.778210202748429,2023-07,3,July,Rainy season,False,False,False
Kien Giang,2024,7,2024-07-01,470.0765224247275,402.4883981245007,67.58812430022681,0.7363647647722829,2024-07,3,July,Rainy season,False,False,False
Bac Lieu,2023,7,2023-07-01,461.2803358067631,354.63521403191737,106.64512177484572,0.9297441710263484,2023-07,3,July,Rainy season,False,False,False
Soc Trang,2020,10,2020-10-01,456.13872069507954,335.4119841688411,120.72673652623844,1.3144446112336865,2020-10,4,October,Rainy season,False,False,False
Soc Trang,2024,7,2024-07-01,455.27224070469,358.00975132525224,97.26248937943774,0.7950457695523231,2024-07,3,July,Rainy season,False,False,False
Bac Lieu,2024,7,2024-07-01,437.66231673254,354.63521403191737,83.0271027006226,0.7238396233077161,2024-07,3,July,Rainy season,False,False,False
Tra Vinh,2020,10,2020-10-01,435.9316272084818,339.1136252157864,96.81800199269544,1.2833592182070226,2020-10,4,October,Rainy season,False,False,False
Kien Giang,2024,9,2024-09-01,435.0456351399864,366.3741042890927,68.67153085089376,1.1351866416552263,2024-09,3,September,Rainy season,False,False,False
Ca Mau,2022,7,2022-07-01,432.9254240851324,381.5162130509005,51.40921103423193,0.4412391486383684,2022-07,3,July,Rainy season,False,False,False
