province_name,year,date,population_total,province_area_km2,population_density_per_km2,cropland_area_km2,cropland_pct
An Giang,2000,2000-01-01,1765909.8998165857,3540.966155975497,498.7084942443052,,
An Giang,2001,2001-01-01,1774640.95965976,3540.966155975497,501.1742223700713,,
An Giang,2002,2002-01-01,1782290.5875061825,3540.966155975497,503.3345445842537,,
An Giang,2003,2003-01-01,1791173.886517526,3540.966155975497,505.8432663906886,,
An Giang,2004,2004-01-01,1799404.729714948,3540.966155975497,508.1677289342044,,
An Giang,2005,2005-01-01,1808566.943747588,3540.966155975497,510.7552187968733,,
An Giang,2006,2006-01-01,1815851.6038951236,3540.966155975497,512.8124709214783,,
An Giang,2007,2007-01-01,1824348.739758475,3540.966155975497,515.2121368570063,,
An Giang,2008,2008-01-01,1833399.7776435837,3540.966155975497,517.7682295973547,,
An Giang,2009,2009-01-01,1842335.8728169824,3540.966155975497,520.2918615045162,,
An Giang,2010,2010-01-01,1850403.6082301096,3540.966155975497,522.5702609745346,,
An Giang,2011,2011-01-01,1859312.4169729035,3540.966155975497,525.0861869535953,,
An Giang,2012,2012-01-01,1867553.8280457444,3540.966155975497,527.4136339581179,,
An Giang,2013,2013-01-01,1876940.458671145,3540.966155975497,530.0645010412613,,
An Giang,2014,2014-01-01,1886009.3283257373,3540.966155975497,532.6256296302167,,
An Giang,2015,2015-01-01,1896028.2982596995,3540.966155975497,535.4550748981571,,
An Giang,2016,2016-01-01,1905282.095704182,3540.966155975497,538.0684287221882,,
An Giang,2017,2017-01-01,1913974.3209031136,3540.966155975497,540.5231896027075,,
An Giang,2018,2018-01-01,1923325.2142632888,3540.966155975497,543.1639641676932,,
An Giang,2019,2019-01-01,1932442.5693026823,3540.966155975497,545.7387854559473,,
An Giang,2020,2020-01-01,1941790.1821321773,3540.966155975497,548.378633570203,,
An Giang,2021,,,,,2569.2474031321835,72.55780738814728
Bac Lieu,2000,2000-01-01,645959.9254910236,2610.873855724368,247.4113883651444,,
Bac Lieu,2001,2001-01-01,655421.357626029,2610.873855724368,251.0352448430287,,
Bac Lieu,2002,2002-01-01,665254.7724425527,2610.873855724368,254.8015757191696,,
Bac Lieu,2003,2003-01-01,675039.6459556572,2610.873855724368,258.54931461955766,,
Bac Lieu,2004,2004-01-01,685511.6965616147,2610.873855724368,262.5602516408915,,
Bac Lieu,2005,2005-01-01,695831.7939731018,2610.873855724368,266.51298853350704,,
Bac Lieu,2006,2006-01-01,706412.4042804663,2610.873855724368,270.5655053887992,,
Bac Lieu,2007,2007-01-01,716821.3011573318,2610.873855724368,274.5522536777078,,
Bac Lieu,2008,2008-01-01,727765.4009568726,2610.873855724368,278.7439919248644,,
Bac Lieu,2009,2009-01-01,739063.6398146385,2610.873855724368,283.07137022121304,,
Bac Lieu,2010,2010-01-01,751019.320661391,2610.873855724368,287.6505576915458,,
Bac Lieu,2011,2011-01-01,762353.6957795094,2610.873855724368,291.9917766643689,,
Bac Lieu,2012,2012-01-01,774079.2351727723,2610.873855724368,296.48281684524727,,
Bac Lieu,2013,2013-01-01,786313.1619097134,2610.873855724368,301.16857625492463,,
Bac Lieu,2014,2014-01-01,798881.4308937129,2610.873855724368,305.9823932673565,,
Bac Lieu,2015,2015-01-01,810509.0178494585,2610.873855724368,310.4359163398144,,
Bac Lieu,2016,2016-01-01,822865.6696359683,2610.873855724368,315.16868110338874,,
Bac Lieu,2017,2017-01-01,835467.8679409004,2610.873855724368,319.9954935046473,,
