province_name,year,month,date,water_area_km2,province_area_km2,water_area_pct
Soc Trang,1984,3,1984-03-01,0.0,3348.8468758966987,0.0
Tra Vinh,1984,3,1984-03-01,0.0,2254.4401122278623,0.0
Vinh Long,1984,3,1984-03-01,0.0,1534.6515536941374,0.0
Bac Lieu,1984,3,1984-03-01,0.0,2610.873855724368,0.0
Ca Mau,1984,3,1984-03-01,0.0,5185.881144708419,0.0
Can Tho city,1984,3,1984-03-01,0.0,1398.2168353387826,0.0
Hau Giang,1984,3,1984-03-01,0.0,1678.4219435418108,0.0
An Giang,1984,3,1984-03-01,0.0,3540.966155975497,0.0
Ben Tre,1984,3,1984-03-01,0.0,2293.238665129326,0.0
Dong Thap,1984,3,1984-03-01,0.0,3393.2412305670014,0.0
Kien Giang,1984,3,1984-03-01,0.0,6294.25596863703,0.0
Long An,1984,3,1984-03-01,0.0,4493.542342739985,0.0
Tien Giang,1984,3,1984-03-01,0.0,2393.1845244412143,0.0
Soc Trang,1984,4,1984-04-01,0.0,3348.8468758966987,0.0
Tra Vinh,1984,4,1984-04-01,0.0,2254.4401122278623,0.0
Vinh Long,1984,4,1984-04-01,0.0,1534.6515536941374,0.0
Bac Lieu,1984,4,1984-04-01,0.0,2610.873855724368,0.0
Ca Mau,1984,4,1984-04-01,0.0,5185.881144708419,0.0
Can Tho city,1984,4,1984-04-01,0.0,1398.2168353387826,0.0
Hau Giang,1984,4,1984-04-01,0.0,1678.4219435418108,0.0
An Giang,1984,4,1984-04-01,0.0,3540.966155975497,0.0
Ben Tre,1984,4,1984-04-01,0.0,2293.238665129326,0.0
Dong Thap,1984,4,1984-04-01,0.0,3393.2412305670014,0.0
Kien Giang,1984,4,1984-04-01,0.0,6294.25596863703,0.0
Long An,1984,4,1984-04-01,0.0,4493.542342739985,0.0
Tien Giang,1984,4,1984-04-01,0.0,2393.1845244412143,0.0
Soc Trang,1984,5,1984-05-01,0.0,3348.8468758966987,0.0
Tra Vinh,1984,5,1984-05-01,0.0,2254.4401122278623,0.0
Vinh Long,1984,5,1984-05-01,0.0,1534.6515536941374,0.0
Bac Lieu,1984,5,1984-05-01,0.0,2610.873855724368,0.0
Ca Mau,1984,5,1984-05-01,0.0,5185.881144708419,0.0
Can Tho city,1984,5,1984-05-01,0.0,1398.2168353387826,0.0
Hau Giang,1984,5,1984-05-01,0.0,1678.4219435418108,0.0
An Giang,1984,5,1984-05-01,0.0,3540.966155975497,0.0
Ben Tre,1984,5,1984-05-01,0.0,2293.238665129326,0.0
Dong Thap,1984,5,1984-05-01,0.0,3393.2412305670014,0.0
Kien Giang,1984,5,1984-05-01,0.0,6294.25596863703,0.0
Long An,1984,5,1984-05-01,0.0,4493.542342739985,0.0
Tien Giang,1984,5,1984-05-01,0.0,2393.1845244412143,0.0
Soc Trang,1984,6,1984-06-01,0.0,3348.8468758966987,0.0
Tra Vinh,1984,6,1984-06-01,0.0,2254.4401122278623,0.0
Vinh Long,1984,6,1984-06-01,0.0,1534.6515536941374,0.0
