province_name,year,province_area_km2,cropland_area_km2,cropland_pct
Soc Trang,2021,3348.8468758966987,1842.1580845202886,55.008728460510035
Tra Vinh,2021,2254.4401122278623,902.0102188851305,40.010387235070716
Vinh Long,2021,1534.6515536941374,616.0112377736151,40.14013710739635
Bac Lieu,2021,2610.873855724368,1223.2359938122456,46.85159304538165
Ca Mau,2021,5185.881144708419,1080.9871728755747,20.84481195598929
Can Tho city,2021,1398.2168353387826,869.7545324277293,62.204553002466966
Hau Giang,2021,1678.4219435418108,914.7362082075942,54.499776514915865
An Giang,2021,3540.966155975497,2569.2474031321835,72.55780738814728
Ben Tre,2021,2293.238665129326,213.47478009995083,9.30887758635938
Dong Thap,2021,3393.2412305670014,2180.7072409424472,64.26620133276104
Kien Giang,2021,6294.25596863703,3560.912752674688,56.57400605278807
Long An,2021,4493.542342739985,2800.454401812332,62.3217539351087
Tien Giang,2021,2393.1845244412143,750.6498645125815,31.366150701975272
