province_name,date,year,month,day,rainfall_mm
Soc Trang,1981-01-01,1981,1,1,0.0
Tra Vinh,1981-01-01,1981,1,1,0.0
Vinh Long,1981-01-01,1981,1,1,0.0
Bac Lieu,1981-01-01,1981,1,1,0.0
Ca Mau,1981-01-01,1981,1,1,0.0
Can Tho city,1981-01-01,1981,1,1,0.0
Hau Giang,1981-01-01,1981,1,1,0.0
An Giang,1981-01-01,1981,1,1,0.0
Ben Tre,1981-01-01,1981,1,1,0.0
Dong Thap,1981-01-01,1981,1,1,0.0
Kien Giang,1981-01-01,1981,1,1,0.0
Long An,1981-01-01,1981,1,1,0.0
Tien Giang,1981-01-01,1981,1,1,0.0
Soc Trang,1981-01-02,1981,1,2,0.8009098250575704
Tra Vinh,1981-01-02,1981,1,2,0.003576803323609697
Vinh Long,1981-01-02,1981,1,2,0.0
Bac Lieu,1981-01-02,1981,1,2,0.5912711001522137
Ca Mau,1981-01-02,1981,1,2,0.0
Can Tho city,1981-01-02,1981,1,2,0.0
Hau Giang,1981-01-02,1981,1,2,0.0
An Giang,1981-01-02,1981,1,2,0.0
Ben Tre,1981-01-02,1981,1,2,0.2928978108695097
Dong Thap,1981-01-02,1981,1,2,0.0
Kien Giang,1981-01-02,1981,1,2,0.0
Long An,1981-01-02,1981,1,2,0.0
Tien Giang,1981-01-02,1981,1,2,0.0
Soc Trang,1981-01-03,1981,1,3,0.0
Tra Vinh,1981-01-03,1981,1,3,0.0
Vinh Long,1981-01-03,1981,1,3,0.0
Bac Lieu,1981-01-03,1981,1,3,0.0
Ca Mau,1981-01-03,1981,1,3,0.29124541226616807
Can Tho city,1981-01-03,1981,1,3,0.0
Hau Giang,1981-01-03,1981,1,3,0.0
An Giang,1981-01-03,1981,1,3,0.0
Ben Tre,1981-01-03,1981,1,3,0.0
Dong Thap,1981-01-03,1981,1,3,0.0
Kien Giang,1981-01-03,1981,1,3,0.0
Long An,1981-01-03,1981,1,3,0.0
Tien Giang,1981-01-03,1981,1,3,0.0
Soc Trang,1981-01-04,1981,1,4,0.0
Tra Vinh,1981-01-04,1981,1,4,0.0
Vinh Long,1981-01-04,1981,1,4,0.0
Bac Lieu,1981-01-04,1981,1,4,0.0
Ca Mau,1981-01-04,1981,1,4,0.0
Can Tho city,1981-01-04,1981,1,4,0.0
Hau Giang,1981-01-04,1981,1,4,0.0
An Giang,1981-01-04,1981,1,4,0.0
Ben Tre,1981-01-04,1981,1,4,0.0
Dong Thap,1981-01-04,1981,1,4,0.0
Kien Giang,1981-01-04,1981,1,4,0.0
Long An,1981-01-04,1981,1,4,0.0
Tien Giang,1981-01-04,1981,1,4,0.0
Soc Trang,1981-01-05,1981,1,5,0.0
Tra Vinh,1981-01-05,1981,1,5,0.0
Vinh Long,1981-01-05,1981,1,5,0.0
Bac Lieu,1981-01-05,1981,1,5,0.0
Ca Mau,1981-01-05,1981,1,5,0.0
Can Tho city,1981-01-05,1981,1,5,0.0
Hau Giang,1981-01-05,1981,1,5,0.0
An Giang,1981-01-05,1981,1,5,0.0
Ben Tre,1981-01-05,1981,1,5,0.0
Dong Thap,1981-01-05,1981,1,5,0.0
Kien Giang,1981-01-05,1981,1,5,0.0
Long An,1981-01-05,1981,1,5,0.0
Tien Giang,1981-01-05,1981,1,5,0.0
Soc Trang,1981-01-06,1981,1,6,0.0
Tra Vinh,1981-01-06,1981,1,6,0.0
Vinh Long,1981-01-06,1981,1,6,0.0
Bac Lieu,1981-01-06,1981,1,6,0.0
Ca Mau,1981-01-06,1981,1,6,0.0
Can Tho city,1981-01-06,1981,1,6,0.0
Hau Giang,1981-01-06,1981,1,6,0.0
An Giang,1981-01-06,1981,1,6,0.0
Ben Tre,1981-01-06,1981,1,6,0.0
Dong Thap,1981-01-06,1981,1,6,0.0
Kien Giang,1981-01-06,1981,1,6,0.0
Long An,1981-01-06,1981,1,6,0.0
Tien Giang,1981-01-06,1981,1,6,0.0
Soc Trang,1981-01-07,1981,1,7,0.0
Tra Vinh,1981-01-07,1981,1,7,0.0
Vinh Long,1981-01-07,1981,1,7,0.0
Bac Lieu,1981-01-07,1981,1,7,0.0
Ca Mau,1981-01-07,1981,1,7,0.0
Can Tho city,1981-01-07,1981,1,7,0.0
