province_name,year,month,date,rainfall_mm
Soc Trang,2000.0,1.0,2000-01-01,11.198571168414267
Tra Vinh,2000.0,1.0,2000-01-01,7.779854936967193
Vinh Long,2000.0,1.0,2000-01-01,10.459590458404207
Bac Lieu,2000.0,1.0,2000-01-01,15.69729414891506
Ca Mau,2000.0,1.0,2000-01-01,18.627884803767707
Can Tho city,2000.0,1.0,2000-01-01,14.754631553450166
Hau Giang,2000.0,1.0,2000-01-01,14.756102024115405
An Giang,2000.0,1.0,2000-01-01,21.20041408228908
Ben Tre,2000.0,1.0,2000-01-01,7.025159306284204
Dong Thap,2000.0,1.0,2000-01-01,19.034713279115397
Kien Giang,2000.0,1.0,2000-01-01,25.607864824931294
Long An,2000.0,1.0,2000-01-01,17.597556250697526
Tien Giang,2000.0,1.0,2000-01-01,9.238708119132694
Soc Trang,2000.0,2.0,2000-02-01,7.353123342160889
Tra Vinh,2000.0,2.0,2000-02-01,4.174697421353681
Vinh Long,2000.0,2.0,2000-02-01,3.9773964608152124
Bac Lieu,2000.0,2.0,2000-02-01,7.613652682867814
Ca Mau,2000.0,2.0,2000-02-01,7.614809237146117
Can Tho city,2000.0,2.0,2000-02-01,5.24650057750121
Hau Giang,2000.0,2.0,2000-02-01,6.128576218903842
An Giang,2000.0,2.0,2000-02-01,10.994070291689214
Ben Tre,2000.0,2.0,2000-02-01,5.209727301343392
Dong Thap,2000.0,2.0,2000-02-01,6.496572660373085
Kien Giang,2000.0,2.0,2000-02-01,13.966987946954053
Long An,2000.0,2.0,2000-02-01,8.86933234368098
Tien Giang,2000.0,2.0,2000-02-01,6.328691239657956
Soc Trang,2000.0,3.0,2000-03-01,40.53634301435373
Tra Vinh,2000.0,3.0,2000-03-01,20.440151884981788
Vinh Long,2000.0,3.0,2000-03-01,25.636003892128656
Bac Lieu,2000.0,3.0,2000-03-01,53.48907019330584
Ca Mau,2000.0,3.0,2000-03-01,63.23554828497964
Can Tho city,2000.0,3.0,2000-03-01,73.017095247064
Hau Giang,2000.0,3.0,2000-03-01,65.50638698197648
An Giang,2000.0,3.0,2000-03-01,103.53000373903362
Ben Tre,2000.0,3.0,2000-03-01,24.325441182947387
Dong Thap,2000.0,3.0,2000-03-01,75.37241094456182
Kien Giang,2000.0,3.0,2000-03-01,103.91494601896277
Long An,2000.0,3.0,2000-03-01,61.632315209258444
Tien Giang,2000.0,3.0,2000-03-01,38.291780921021086
Soc Trang,2000.0,4.0,2000-04-01,64.09621407813407
Tra Vinh,2000.0,4.0,2000-04-01,38.27785369796036
Vinh Long,2000.0,4.0,2000-04-01,55.89572429463803
Bac Lieu,2000.0,4.0,2000-04-01,68.7045288491446
Ca Mau,2000.0,4.0,2000-04-01,96.4252722362414
Can Tho city,2000.0,4.0,2000-04-01,100.0764191688031
Hau Giang,2000.0,4.0,2000-04-01,99.59591913408148
An Giang,2000.0,4.0,2000-04-01,148.31337382064063
Ben Tre,2000.0,4.0,2000-04-01,31.30226206137657
Dong Thap,2000.0,4.0,2000-04-01,109.53237783079462
Kien Giang,2000.0,4.0,2000-04-01,177.98485960016515
Long An,2000.0,4.0,2000-04-01,102.47041039454842
Tien Giang,2000.0,4.0,2000-04-01,56.45333249999699
Soc Trang,2000.0,5.0,2000-05-01,273.2277020581615
Tra Vinh,2000.0,5.0,2000-05-01,267.51485539919963
Vinh Long,2000.0,5.0,2000-05-01,244.11653828667335
Bac Lieu,2000.0,5.0,2000-05-01,287.98549220007976
Ca Mau,2000.0,5.0,2000-05-01,312.3514077851322
Can Tho city,2000.0,5.0,2000-05-01,251.0712710784133
Hau Giang,2000.0,5.0,2000-05-01,279.13665009751463
An Giang,2000.0,5.0,2000-05-01,219.41713879807338
Ben Tre,2000.0,5.0,2000-05-01,244.89343364045735
Dong Thap,2000.0,5.0,2000-05-01,220.7023662022451
Kien Giang,2000.0,5.0,2000-05-01,297.3049752830084
Long An,2000.0,5.0,2000-05-01,263.2086497875848
Tien Giang,2000.0,5.0,2000-05-01,245.47046289048853
Soc Trang,2000.0,6.0,2000-06-01,287.6566072590535
Tra Vinh,2000.0,6.0,2000-06-01,212.0361678974624
Vinh Long,2000.0,6.0,2000-06-01,207.62940309130218
Bac Lieu,2000.0,6.0,2000-06-01,332.9712500564861
Ca Mau,2000.0,6.0,2000-06-01,359.3112309119489
Can Tho city,2000.0,6.0,2000-06-01,231.90699918932887
Hau Giang,2000.0,6.0,2000-06-01,275.356297361398
An Giang,2000.0,6.0,2000-06-01,183.63343591988578
Ben Tre,2000.0,6.0,2000-06-01,182.43464084245628
Dong Thap,2000.0,6.0,2000-06-01,176.00017869956483
Kien Giang,2000.0,6.0,2000-06-01,295.99221188509256
Long An,2000.0,6.0,2000-06-01,191.89687941560595
Tien Giang,2000.0,6.0,2000-06-01,181.79199287902225
Soc Trang,2000.0,7.0,2000-07-01,205.28727308963613
Tra Vinh,2000.0,7.0,2000-07-01,183.55900545226828
Vinh Long,2000.0,7.0,2000-07-01,201.26832720715382
Bac Lieu,2000.0,7.0,2000-07-01,200.07763619198812
Ca Mau,2000.0,7.0,2000-07-01,224.85438354671567
Can Tho city,2000.0,7.0,2000-07-01,205.90782251584707
Hau Giang,2000.0,7.0,2000-07-01,244.50194603779585
An Giang,2000.0,7.0,2000-07-01,183.0454343451895
Ben Tre,2000.0,7.0,2000-07-01,191.55002644384524
Dong Thap,2000.0,7.0,2000-07-01,171.59402589921405
Kien Giang,2000.0,7.0,2000-07-01,271.67902969478627
Long An,2000.0,7.0,2000-07-01,221.70260389230236
Tien Giang,2000.0,7.0,2000-07-01,210.6519982746937
Soc Trang,2000.0,8.0,2000-08-01,281.30840127148053
Tra Vinh,2000.0,8.0,2000-08-01,250.78813694518368
Vinh Long,2000.0,8.0,2000-08-01,230.1298621808095
Bac Lieu,2000.0,8.0,2000-08-01,330.8634597270624
Ca Mau,2000.0,8.0,2000-08-01,328.99444686431326
Can Tho city,2000.0,8.0,2000-08-01,245.10446081608282
Hau Giang,2000.0,8.0,2000-08-01,287.80748092360597
An Giang,2000.0,8.0,2000-08-01,211.25352478156907
Ben Tre,2000.0,8.0,2000-08-01,198.10405380971184
Dong Thap,2000.0,8.0,2000-08-01,194.7772711331807
Kien Giang,2000.0,8.0,2000-08-01,352.3397738150626
Long An,2000.0,8.0,2000-08-01,217.40800524192952
Tien Giang,2000.0,8.0,2000-08-01,196.92725824724337
Soc Trang,2000.0,9.0,2000-09-01,174.17524186296475
Tra Vinh,2000.0,9.0,2000-09-01,154.09420081572313
