province_name,date,year,month,day,rainfall_mm
Ben Tre,1981-01-01,1981,1,1,0.0
Ben Tre,1981-01-02,1981,1,2,0.2928978108695097
Ben Tre,1981-01-03,1981,1,3,0.0
Ben Tre,1981-01-04,1981,1,4,0.0
Ben Tre,1981-01-05,1981,1,5,0.0
Ben Tre,1981-01-06,1981,1,6,0.0
Ben Tre,1981-01-07,1981,1,7,0.0
Ben Tre,1981-01-08,1981,1,8,0.0430751901308039
Ben Tre,1981-01-09,1981,1,9,0.0138615007706128
Ben Tre,1981-01-10,1981,1,10,0.0
Ben Tre,1981-01-11,1981,1,11,0.0
Ben Tre,1981-01-12,1981,1,12,0.0
Ben Tre,1981-01-13,1981,1,13,0.0
Ben Tre,1981-01-14,1981,1,14,0.0
Ben Tre,1981-01-15,1981,1,15,0.0
Ben Tre,1981-01-16,1981,1,16,0.0
Ben Tre,1981-01-17,1981,1,17,0.0
Ben Tre,1981-01-18,1981,1,18,0.0
Ben Tre,1981-01-19,1981,1,19,0.0
Ben Tre,1981-01-20,1981,1,20,0.0
Ben Tre,1981-01-21,1981,1,21,0.0
Ben Tre,1981-01-22,1981,1,22,0.0
Ben Tre,1981-01-23,1981,1,23,0.0
Ben Tre,1981-01-24,1981,1,24,0.0
Ben Tre,1981-01-25,1981,1,25,0.0
Ben Tre,1981-01-26,1981,1,26,0.0
Ben Tre,1981-01-27,1981,1,27,0.0
Ben Tre,1981-01-28,1981,1,28,3.4147252708795217
Ben Tre,1981-01-29,1981,1,29,4.098721850288339
Ben Tre,1981-01-30,1981,1,30,0.0
Ben Tre,1981-01-31,1981,1,31,0.0
Ben Tre,1981-02-01,1981,2,1,0.0
Ben Tre,1981-02-02,1981,2,2,0.0
Ben Tre,1981-02-03,1981,2,3,0.0
Ben Tre,1981-02-04,1981,2,4,0.0
Ben Tre,1981-02-05,1981,2,5,0.0
Ben Tre,1981-02-06,1981,2,6,0.0
Ben Tre,1981-02-07,1981,2,7,0.0
Ben Tre,1981-02-08,1981,2,8,0.0
Ben Tre,1981-02-09,1981,2,9,0.0
Ben Tre,1981-02-10,1981,2,10,1.6955015014064998
Ben Tre,1981-02-11,1981,2,11,3.1581921389104246
Ben Tre,1981-02-12,1981,2,12,0.0
Ben Tre,1981-02-13,1981,2,13,2.1986320985514647
Ben Tre,1981-02-14,1981,2,14,0.0
Ben Tre,1981-02-15,1981,2,15,0.0
Ben Tre,1981-02-16,1981,2,16,0.0
Ben Tre,1981-02-17,1981,2,17,0.0
Ben Tre,1981-02-18,1981,2,18,0.0
Ben Tre,1981-02-19,1981,2,19,0.0
Ben Tre,1981-02-20,1981,2,20,0.0
Ben Tre,1981-02-21,1981,2,21,0.0
Ben Tre,1981-02-22,1981,2,22,0.0
Ben Tre,1981-02-23,1981,2,23,0.0
Ben Tre,1981-02-24,1981,2,24,0.0
Ben Tre,1981-02-25,1981,2,25,0.0
Ben Tre,1981-02-26,1981,2,26,0.0
Ben Tre,1981-02-27,1981,2,27,0.0
Ben Tre,1981-02-28,1981,2,28,0.0
Ben Tre,1981-03-01,1981,3,1,0.0
Ben Tre,1981-03-02,1981,3,2,0.0
Ben Tre,1981-03-03,1981,3,3,0.0
Ben Tre,1981-03-04,1981,3,4,0.0
Ben Tre,1981-03-05,1981,3,5,0.0
Ben Tre,1981-03-06,1981,3,6,0.0
Ben Tre,1981-03-07,1981,3,7,0.0
Ben Tre,1981-03-08,1981,3,8,0.0
Ben Tre,1981-03-09,1981,3,9,0.0
Ben Tre,1981-03-10,1981,3,10,0.0
Ben Tre,1981-03-11,1981,3,11,0.0
Ben Tre,1981-03-12,1981,3,12,0.0
Ben Tre,1981-03-13,1981,3,13,0.0
Ben Tre,1981-03-14,1981,3,14,0.0
Ben Tre,1981-03-15,1981,3,15,0.0
Ben Tre,1981-03-16,1981,3,16,0.0
Ben Tre,1981-03-17,1981,3,17,0.0
Ben Tre,1981-03-18,1981,3,18,0.0
Ben Tre,1981-03-19,1981,3,19,0.0
Ben Tre,1981-03-20,1981,3,20,0.0
Ben Tre,1981-03-21,1981,3,21,0.0
Ben Tre,1981-03-22,1981,3,22,0.0
Ben Tre,1981-03-23,1981,3,23,0.0
Ben Tre,1981-03-24,1981,3,24,0.0
Ben Tre,1981-03-25,1981,3,25,0.0
Ben Tre,1981-03-26,1981,3,26,0.0
Ben Tre,1981-03-27,1981,3,27,0.0
Ben Tre,1981-03-28,1981,3,28,0.0
Ben Tre,1981-03-29,1981,3,29,0.0
Ben Tre,1981-03-30,1981,3,30,3.121350165178396
Ben Tre,1981-03-31,1981,3,31,2.810917131543466
Ben Tre,1981-04-01,1981,4,1,0.0
Ben Tre,1981-04-02,1981,4,2,0.0
Ben Tre,1981-04-03,1981,4,3,0.0
Ben Tre,1981-04-04,1981,4,4,0.0
Ben Tre,1981-04-05,1981,4,5,0.0
Ben Tre,1981-04-06,1981,4,6,0.0
Ben Tre,1981-04-07,1981,4,7,0.0
Ben Tre,1981-04-08,1981,4,8,0.0
Ben Tre,1981-04-09,1981,4,9,0.0
Ben Tre,1981-04-10,1981,4,10,0.0
Ben Tre,1981-04-11,1981,4,11,0.0
Ben Tre,1981-04-12,1981,4,12,0.6673460775070875
Ben Tre,1981-04-13,1981,4,13,2.2647799344576254
Ben Tre,1981-04-14,1981,4,14,0.2723748414055716
Ben Tre,1981-04-15,1981,4,15,5.632438370316748
Ben Tre,1981-04-16,1981,4,16,0.1054100900739099
Ben Tre,1981-04-17,1981,4,17,1.8160462604249945
Ben Tre,1981-04-18,1981,4,18,0.01566801032212
Ben Tre,1981-04-19,1981,4,19,0.0
Ben Tre,1981-04-20,1981,4,20,0.0765171323609903
Ben Tre,1981-04-21,1981,4,21,0.2133474575372356
Ben Tre,1981-04-22,1981,4,22,2.6938232450167567
Ben Tre,1981-04-23,1981,4,23,0.0
Ben Tre,1981-04-24,1981,4,24,0.0
Ben Tre,1981-04-25,1981,4,25,0.0
Ben Tre,1981-04-26,1981,4,26,0.1586710317474107
Ben Tre,1981-04-27,1981,4,27,0.0
Ben Tre,1981-04-28,1981,4,28,0.0
Ben Tre,1981-04-29,1981,4,29,0.523283294573801
Ben Tre,1981-04-30,1981,4,30,0.6348233442635428
Ben Tre,1981-05-01,1981,5,1,0.2172498715050864
Ben Tre,1981-05-02,1981,5,2,0.4750693043683783
Ben Tre,1981-05-03,1981,5,3,5.111805454818315
Ben Tre,1981-05-04,1981,5,4,9.113976356852367
Ben Tre,1981-05-05,1981,5,5,1.862806748735452
Ben Tre,1981-05-06,1981,5,6,7.585615116314885
Ben Tre,1981-05-07,1981,5,7,25.28204752919287
Ben Tre,1981-05-08,1981,5,8,1.7027689083132458
Ben Tre,1981-05-09,1981,5,9,6.356691496143414
