province_name,date,year,month,day,predicted_rainfall_mm,rain_probability,prediction_stage,model_name
Ca Mau,2026-01-01,2026,1,1,0.0,0.14650656282901764,recursive_daily,xgboost_recent_weighted_daily
Ca Mau,2026-01-02,2026,1,2,0.0,0.06209949031472206,recursive_daily,xgboost_recent_weighted_daily
Ca Mau,2026-01-03,2026,1,3,0.0,0.08381551504135132,recursive_daily,xgboost_recent_weighted_daily
Ca Mau,2026-01-04,2026,1,4,0.0,0.08758307993412018,recursive_daily,xgboost_recent_weighted_daily
Ca Mau,2026-01-05,2026,1,5,0.0,0.052698083221912384,recursive_daily,xgboost_recent_weighted_daily
Ca Mau,2026-01-06,2026,1,6,0.0,0.05438103526830673,recursive_daily,xgboost_recent_weighted_daily
Ca Mau,2026-01-07,2026,1,7,0.0,0.05240859091281891,recursive_daily,xgboost_recent_weighted_daily
Ca Mau,2026-01-08,2026,1,8,0.0,0.05326316878199577,recursive_daily,xgboost_recent_weighted_daily
Ca Mau,2026-01-09,2026,1,9,0.0,0.036602988839149475,recursive_daily,xgboost_recent_weighted_daily
Ca Mau,2026-01-10,2026,1,10,0.0,0.024131039157509804,recursive_daily,xgboost_recent_weighted_daily
Ca Mau,2026-01-11,2026,1,11,0.0,0.015743713825941086,recursive_daily,xgboost_recent_weighted_daily
Ca Mau,2026-01-12,2026,1,12,0.0,0.019913673400878906,recursive_daily,xgboost_recent_weighted_daily
Ca Mau,2026-01-13,2026,1,13,0.0,0.025309152901172638,recursive_daily,xgboost_recent_weighted_daily
Ca Mau,2026-01-14,2026,1,14,0.0,0.018449770286679268,recursive_daily,xgboost_recent_weighted_daily
Ca Mau,2026-01-15,2026,1,15,0.0,0.03884876146912575,recursive_daily,xgboost_recent_weighted_daily
Ca Mau,2026-01-16,2026,1,16,0.0,0.06335689127445221,recursive_daily,xgboost_recent_weighted_daily
Ca Mau,2026-01-17,2026,1,17,0.0,0.04209559038281441,recursive_daily,xgboost_recent_weighted_daily
Ca Mau,2026-01-18,2026,1,18,0.0,0.06143737584352493,recursive_daily,xgboost_recent_weighted_daily
Ca Mau,2026-01-19,2026,1,19,0.0,0.0533519983291626,recursive_daily,xgboost_recent_weighted_daily
Ca Mau,2026-01-20,2026,1,20,0.0,0.06225153058767319,recursive_daily,xgboost_recent_weighted_daily
Ca Mau,2026-01-21,2026,1,21,0.0,0.06439691036939621,recursive_daily,xgboost_recent_weighted_daily
Ca Mau,2026-01-22,2026,1,22,0.0,0.06028011068701744,recursive_daily,xgboost_recent_weighted_daily
Ca Mau,2026-01-23,2026,1,23,0.0,0.05571753904223442,recursive_daily,xgboost_recent_weighted_daily
Ca Mau,2026-01-24,2026,1,24,0.0,0.05521872639656067,recursive_daily,xgboost_recent_weighted_daily
Ca Mau,2026-01-25,2026,1,25,0.0,0.048420973122119904,recursive_daily,xgboost_recent_weighted_daily
Ca Mau,2026-01-26,2026,1,26,0.0,0.029030440375208855,recursive_daily,xgboost_recent_weighted_daily
Ca Mau,2026-01-27,2026,1,27,0.0,0.03582993149757385,recursive_daily,xgboost_recent_weighted_daily
Ca Mau,2026-01-28,2026,1,28,0.0,0.026680538430809975,recursive_daily,xgboost_recent_weighted_daily
Ca Mau,2026-01-29,2026,1,29,0.0,0.0424383170902729,recursive_daily,xgboost_recent_weighted_daily
Ca Mau,2026-01-30,2026,1,30,0.0,0.035335738211870193,recursive_daily,xgboost_recent_weighted_daily
Ca Mau,2026-01-31,2026,1,31,0.0,0.03497375547885895,recursive_daily,xgboost_recent_weighted_daily
Ca Mau,2026-02-01,2026,2,1,0.0,0.028761062771081924,recursive_daily,xgboost_recent_weighted_daily
Ca Mau,2026-02-02,2026,2,2,0.0,0.029669733718037605,recursive_daily,xgboost_recent_weighted_daily
Ca Mau,2026-02-03,2026,2,3,0.0,0.034757375717163086,recursive_daily,xgboost_recent_weighted_daily
Ca Mau,2026-02-04,2026,2,4,0.0,0.02812926657497883,recursive_daily,xgboost_recent_weighted_daily
Ca Mau,2026-02-05,2026,2,5,0.0,0.020379526540637016,recursive_daily,xgboost_recent_weighted_daily
Ca Mau,2026-02-06,2026,2,6,0.0,0.021194618195295334,recursive_daily,xgboost_recent_weighted_daily
Ca Mau,2026-02-07,2026,2,7,0.0,0.020718365907669067,recursive_daily,xgboost_recent_weighted_daily
Ca Mau,2026-02-08,2026,2,8,0.0,0.02460305020213127,recursive_daily,xgboost_recent_weighted_daily
Ca Mau,2026-02-09,2026,2,9,0.0,0.015449440106749535,recursive_daily,xgboost_recent_weighted_daily
Ca Mau,2026-02-10,2026,2,10,0.0,0.03473655879497528,recursive_daily,xgboost_recent_weighted_daily
Ca Mau,2026-02-11,2026,2,11,0.0,0.020811913534998894,recursive_daily,xgboost_recent_weighted_daily
Ca Mau,2026-02-12,2026,2,12,0.0,0.02107321098446846,recursive_daily,xgboost_recent_weighted_daily
Ca Mau,2026-02-13,2026,2,13,0.0,0.04334025830030441,recursive_daily,xgboost_recent_weighted_daily
Ca Mau,2026-02-14,2026,2,14,0.0,0.022562328726053238,recursive_daily,xgboost_recent_weighted_daily
Ca Mau,2026-02-15,2026,2,15,0.0,0.020136671140789986,recursive_daily,xgboost_recent_weighted_daily
Ca Mau,2026-02-16,2026,2,16,0.0,0.03480229154229164,recursive_daily,xgboost_recent_weighted_daily
Ca Mau,2026-02-17,2026,2,17,0.0,0.016631292179226875,recursive_daily,xgboost_recent_weighted_daily
Ca Mau,2026-02-18,2026,2,18,0.0,0.014010856859385967,recursive_daily,xgboost_recent_weighted_daily
Ca Mau,2026-02-19,2026,2,19,0.0,0.014796942472457886,recursive_daily,xgboost_recent_weighted_daily
Ca Mau,2026-02-20,2026,2,20,0.0,0.022338226437568665,recursive_daily,xgboost_recent_weighted_daily
Ca Mau,2026-02-21,2026,2,21,0.0,0.020115118473768234,recursive_daily,xgboost_recent_weighted_daily
Ca Mau,2026-02-22,2026,2,22,0.0,0.018246399238705635,recursive_daily,xgboost_recent_weighted_daily
Ca Mau,2026-02-23,2026,2,23,0.0,0.021178647875785828,recursive_daily,xgboost_recent_weighted_daily
Ca Mau,2026-02-24,2026,2,24,0.0,0.0158114954829216,recursive_daily,xgboost_recent_weighted_daily
Ca Mau,2026-02-25,2026,2,25,0.0,0.03734609857201576,recursive_daily,xgboost_recent_weighted_daily
Ca Mau,2026-02-26,2026,2,26,0.0,0.050123509019613266,recursive_daily,xgboost_recent_weighted_daily
Ca Mau,2026-02-27,2026,2,27,0.0,0.02547154575586319,recursive_daily,xgboost_recent_weighted_daily
Ca Mau,2026-02-28,2026,2,28,0.0,0.05874587222933769,recursive_daily,xgboost_recent_weighted_daily
Ca Mau,2026-03-01,2026,3,1,0.0,0.05401989072561264,recursive_daily,xgboost_recent_weighted_daily
Ca Mau,2026-03-02,2026,3,2,0.0,0.053138282150030136,recursive_daily,xgboost_recent_weighted_daily
Ca Mau,2026-03-03,2026,3,3,0.0,0.018211914226412773,recursive_daily,xgboost_recent_weighted_daily
Ca Mau,2026-03-04,2026,3,4,0.0,0.03859991207718849,recursive_daily,xgboost_recent_weighted_daily
Ca Mau,2026-03-05,2026,3,5,0.0,0.053138282150030136,recursive_daily,xgboost_recent_weighted_daily
Ca Mau,2026-03-06,2026,3,6,0.0,0.05526421219110489,recursive_daily,xgboost_recent_weighted_daily
Ca Mau,2026-03-07,2026,3,7,0.0,0.05982837453484535,recursive_daily,xgboost_recent_weighted_daily
Ca Mau,2026-03-08,2026,3,8,0.0,0.03707391023635864,recursive_daily,xgboost_recent_weighted_daily
Ca Mau,2026-03-09,2026,3,9,0.0,0.05795068293809891,recursive_daily,xgboost_recent_weighted_daily
Ca Mau,2026-03-10,2026,3,10,0.0,0.021553512662649155,recursive_daily,xgboost_recent_weighted_daily
Ca Mau,2026-03-11,2026,3,11,0.0,0.024044783785939217,recursive_daily,xgboost_recent_weighted_daily
Ca Mau,2026-03-12,2026,3,12,0.0,0.017944229766726494,recursive_daily,xgboost_recent_weighted_daily
Ca Mau,2026-03-13,2026,3,13,0.0,0.032264240086078644,recursive_daily,xgboost_recent_weighted_daily
Ca Mau,2026-03-14,2026,3,14,0.0,0.0224678423255682,recursive_daily,xgboost_recent_weighted_daily
Ca Mau,2026-03-15,2026,3,15,0.0,0.024691907688975334,recursive_daily,xgboost_recent_weighted_daily
Ca Mau,2026-03-16,2026,3,16,0.0,0.0663195550441742,recursive_daily,xgboost_recent_weighted_daily
Ca Mau,2026-03-17,2026,3,17,0.0,0.040238864719867706,recursive_daily,xgboost_recent_weighted_daily
Ca Mau,2026-03-18,2026,3,18,0.0,0.0713755413889885,recursive_daily,xgboost_recent_weighted_daily
