province_name,date,year,month,day,predicted_rainfall_mm,rain_probability,prediction_stage,model_name
Soc Trang,2026-01-01,2026,1,1,0.0,0.16853509843349457,recursive_daily,xgboost_recent_weighted_daily
Soc Trang,2026-01-02,2026,1,2,0.0,0.07119801640510559,recursive_daily,xgboost_recent_weighted_daily
Soc Trang,2026-01-03,2026,1,3,0.0,0.10823682695627213,recursive_daily,xgboost_recent_weighted_daily
Soc Trang,2026-01-04,2026,1,4,0.0,0.07535015791654587,recursive_daily,xgboost_recent_weighted_daily
Soc Trang,2026-01-05,2026,1,5,0.0,0.05303814634680748,recursive_daily,xgboost_recent_weighted_daily
Soc Trang,2026-01-06,2026,1,6,0.0,0.06352345645427704,recursive_daily,xgboost_recent_weighted_daily
Soc Trang,2026-01-07,2026,1,7,0.0,0.04068422317504883,recursive_daily,xgboost_recent_weighted_daily
Soc Trang,2026-01-08,2026,1,8,0.0,0.034530628472566605,recursive_daily,xgboost_recent_weighted_daily
Soc Trang,2026-01-09,2026,1,9,0.0,0.044159527868032455,recursive_daily,xgboost_recent_weighted_daily
Soc Trang,2026-01-10,2026,1,10,0.0,0.04820729047060013,recursive_daily,xgboost_recent_weighted_daily
Soc Trang,2026-01-11,2026,1,11,0.0,0.03583429753780365,recursive_daily,xgboost_recent_weighted_daily
Soc Trang,2026-01-12,2026,1,12,0.0,0.033428844064474106,recursive_daily,xgboost_recent_weighted_daily
Soc Trang,2026-01-13,2026,1,13,0.0,0.019815320149064064,recursive_daily,xgboost_recent_weighted_daily
Soc Trang,2026-01-14,2026,1,14,0.0,0.01864067278802395,recursive_daily,xgboost_recent_weighted_daily
Soc Trang,2026-01-15,2026,1,15,0.0,0.03769189491868019,recursive_daily,xgboost_recent_weighted_daily
Soc Trang,2026-01-16,2026,1,16,0.0,0.018412623554468155,recursive_daily,xgboost_recent_weighted_daily
Soc Trang,2026-01-17,2026,1,17,0.0,0.038653913885354996,recursive_daily,xgboost_recent_weighted_daily
Soc Trang,2026-01-18,2026,1,18,0.0,0.025864962488412857,recursive_daily,xgboost_recent_weighted_daily
Soc Trang,2026-01-19,2026,1,19,0.0,0.016599271446466446,recursive_daily,xgboost_recent_weighted_daily
